id,startdate,enddate,Price,machine_id,isrenewed
478,2016-07-27,2017-07-27,1280,150,0
479,2016-08-03,2017-08-03,1280,151,0
480,2016-08-03,2017-08-03,1280,152,0
481,2016-08-03,2017-08-03,1280,153,0
482,2016-08-09,2017-08-09,1280,154,0
483,2016-08-29,2017-08-29,1280,155,0
484,2016-08-29,2017-08-29,1280,156,0
485,2016-08-25,2017-08-25,1280,157,0
486,2016-08-25,2017-08-25,1280,158,0
487,2016-08-15,2017-08-15,1280,159,0
489,2016-08-25,2017-08-25,1280,161,0
490,2016-08-19,2017-08-19,1280,162,0
491,2016-08-24,2017-08-24,1280,163,0
492,2016-08-24,2017-08-24,1280,164,0
493,2016-09-01,2017-09-01,1280,165,0
494,2016-09-01,2017-09-01,1280,166,0
495,2016-09-05,2017-09-05,1280,167,0
496,2016-11-22,2017-11-22,1280,168,0
497,2016-11-22,2017-11-22,1280,169,0
498,2016-09-07,2017-09-07,1280,170,0
499,2016-09-07,2017-09-07,1280,171,0
500,2016-09-07,2017-09-07,1280,172,0
501,2016-09-07,2017-09-07,1280,173,0
502,2016-09-07,2017-09-07,1280,174,0
503,2016-09-07,2017-09-07,1280,175,0
504,2016-09-07,2017-09-07,1280,176,0
505,2016-09-27,2017-09-27,1280,177,0
506,2016-09-14,2017-09-14,1280,178,0
507,2016-09-13,2017-09-13,1280,179,0
508,2016-10-05,2017-10-05,1280,180,0
509,2016-09-23,2017-09-23,1280,181,0
510,2016-09-27,2017-09-27,1280,182,0
511,2016-11-09,2017-11-09,1280,183,0
512,2016-10-03,2017-10-03,1280,184,0
513,2016-10-11,2017-10-11,1280,185,0
514,2016-11-04,2017-11-04,1280,186,0
515,2016-10-19,2017-10-19,1280,187,0
516,2016-10-18,2017-10-18,1280,188,0
518,2016-10-25,2017-10-25,1280,190,0
519,2016-10-26,2017-10-26,1280,191,0
520,2016-11-11,2017-11-11,1280,192,0
521,2016-10-28,2017-10-28,1280,193,0
522,2016-11-10,2017-11-10,1280,194,0
523,2016-11-10,2017-11-10,1280,195,0
524,2016-11-10,2017-11-10,1280,196,0
525,2016-12-06,2017-12-06,1280,197,0
526,2016-11-10,2017-11-10,1280,198,0
527,2016-11-10,2017-11-10,1280,199,0
528,2016-11-10,2017-11-10,1280,200,0
529,2016-11-09,2017-11-09,1280,201,0
530,2016-12-06,2017-12-06,1280,202,0
531,2017-02-24,2018-02-24,1280,203,0
532,2016-11-16,2017-11-16,1280,204,0
533,2016-11-17,2017-11-17,1280,205,0
534,2016-11-24,2017-11-24,1280,206,0
535,2016-11-24,2017-11-24,1280,207,0
536,2016-11-28,2017-11-28,1280,208,0
537,2017-01-19,2018-01-19,1280,209,0
538,2017-01-19,2018-01-19,1280,210,0
539,2016-12-19,2017-12-19,1280,211,0
540,2017-01-04,2018-01-04,1280,212,0
541,2017-01-04,2018-01-04,1280,213,0
542,2017-04-03,2018-04-03,1280,214,0
543,2017-04-03,2018-04-03,1280,215,0
544,2017-04-03,2018-04-03,1280,216,0
545,2017-01-09,2018-01-09,1280,217,0
546,2017-01-07,2018-01-07,1280,218,0
547,2017-01-11,2018-01-11,1280,219,0
548,2017-01-17,2018-01-17,1280,220,0
549,2017-01-20,2018-01-20,1280,221,0
550,2017-05-04,2018-05-04,1280,222,0
551,2017-01-23,2018-01-23,1280,223,0
552,2017-02-16,2018-02-16,1280,224,0
553,2017-01-23,2018-01-23,1280,225,0
554,2017-02-20,2018-02-20,1280,226,0
555,2017-02-24,2018-02-24,1280,227,0
556,2017-02-06,2018-02-06,1280,228,0
557,2017-02-07,2018-02-07,1280,229,0
558,2017-02-13,2018-02-13,1280,230,0
559,2017-02-14,2018-02-14,1280,231,0
560,2017-02-21,2018-02-21,1280,232,0
561,2017-03-27,2018-03-27,1280,233,0
562,2017-03-20,2018-03-20,1280,234,0
563,2017-02-25,2018-02-25,1280,235,0
564,2017-03-03,2018-03-03,1280,236,0
565,2017-03-02,2018-03-02,1280,237,0
566,2017-03-09,2018-03-09,1280,238,0
567,2017-03-14,2018-03-14,1280,239,0
568,2017-03-14,2018-03-14,1280,240,0
569,2017-03-14,2018-03-14,1280,241,0
570,2017-03-14,2018-03-14,1280,242,0
571,2017-03-14,2018-03-14,1280,243,0
572,2017-03-14,2018-03-14,1280,244,0
573,2017-03-14,2018-03-14,1280,245,0
574,2017-03-14,2018-03-14,1280,246,0
575,2017-03-14,2018-03-14,1280,247,0
576,2017-03-14,2018-03-14,1280,248,0
577,2017-03-14,2018-03-14,1280,249,0
578,2017-03-14,2018-03-14,1280,250,0
579,2017-04-28,2018-04-28,1280,251,0
580,2017-03-21,2018-03-21,1280,252,0
581,2017-03-22,2018-03-22,1280,253,0
582,2017-05-15,2018-05-15,1280,254,0
583,2017-04-24,2018-04-24,1280,255,0
584,2017-04-18,2018-04-18,1280,256,0
585,2017-04-12,2018-04-12,1280,257,0
586,2017-04-12,2018-04-12,1280,258,0
587,2017-04-12,2018-04-12,1280,259,0
588,2017-04-12,2018-04-12,1280,260,0
589,2017-05-12,2018-05-12,1280,261,0
590,2017-05-12,2018-05-12,1280,262,0
591,2017-04-12,2018-04-12,1280,263,1
592,2018-04-22,2019-04-22,1280,264,0
593,2017-04-19,2018-04-19,1280,265,0
594,2017-04-24,2018-04-24,1280,266,0
595,2017-04-28,2018-04-28,1280,267,0
596,2017-04-03,2018-04-03,1280,268,0
597,2017-05-08,2018-05-08,1280,269,0
598,2018-05-15,2019-05-15,1280,270,0
599,2017-05-12,2018-05-12,1280,271,0
600,2017-05-16,2018-05-16,1280,272,0
601,2017-05-18,2018-05-18,1280,273,0
602,2017-05-18,2018-05-18,1280,274,0
603,2017-05-18,2018-05-18,1280,275,0
604,2017-05-23,2018-05-23,1280,276,0
605,2017-05-18,2018-05-18,1280,277,0
606,2017-05-19,2018-05-19,1280,278,0
607,2017-05-19,2018-05-19,1280,279,0
608,2017-05-26,2018-05-26,1280,280,0
609,2017-05-26,2018-05-26,1280,281,0
610,2017-05-23,2018-05-23,1280,282,0
611,2017-05-24,2018-05-24,1280,283,0
612,2017-07-12,2018-07-12,1280,284,0
613,2017-06-05,2018-06-05,1280,285,0
618,2017-06-20,2018-06-20,1280,290,0
619,2017-06-19,2018-06-19,1280,291,0
620,2017-06-23,2018-06-23,1280,292,0
621,2017-06-23,2018-06-23,1280,293,0
622,2017-07-03,2018-07-03,1280,294,0
623,2017-07-04,2018-07-04,1280,295,0
624,2017-07-14,2018-07-14,1280,296,0
625,2017-07-17,2018-07-17,1280,297,0
626,2017-07-21,2018-07-21,1280,298,0
627,2017-07-28,2018-07-28,1280,299,0
628,2017-08-14,2018-08-14,1280,300,0
629,2017-08-09,2018-08-09,1280,301,0
630,2017-08-11,2018-08-11,1280,302,0
631,2017-08-11,2018-08-11,1280,303,0
632,2017-08-14,2018-08-14,1280,304,0
633,2017-08-18,2018-08-18,1280,305,0
634,2017-08-22,2018-08-22,1280,306,0
635,2017-08-29,2018-08-29,1280,307,0
636,2017-08-31,2018-08-31,1280,308,0
637,2017-09-08,2018-09-08,1280,309,0
638,2017-09-08,2018-09-08,1280,310,0
639,2017-09-22,2018-09-22,1280,311,0
640,2017-09-22,2018-09-22,1280,312,0
641,,1900-12-30,1280,313,0
642,2017-09-22,2018-09-22,1280,314,0
643,2017-09-22,2018-09-22,1280,315,0
644,2017-09-27,2018-09-27,1280,316,0
645,2017-10-03,2018-10-03,1280,317,0
646,2017-09-28,2018-09-28,1280,318,0
647,2017-11-21,2018-11-21,1280,319,0
648,2017-10-20,2018-10-20,1280,320,0
649,2017-10-09,2018-10-09,1280,321,0
650,2017-10-09,2018-10-09,1280,322,0
651,2017-10-10,2018-10-10,1280,323,0
652,2017-10-17,2018-10-17,1280,324,0
653,2017-11-13,2018-11-13,1280,325,0
654,2017-11-08,2018-11-08,1280,326,0
655,2017-12-08,2018-12-08,1280,327,0
656,2017-12-12,2018-12-12,1280,328,0
657,2018-12-08,2019-12-08,1280,329,0
658,2018-01-10,2019-01-10,1280,330,0
659,2017-12-19,2018-12-19,1280,331,0
660,2018-01-10,2019-01-10,1280,332,0
661,2018-01-10,2019-01-10,1280,333,0
662,2018-01-15,2019-01-15,1280,334,0
663,2018-01-15,2019-01-15,1280,335,0
664,2018-01-16,2019-01-16,1280,336,0
665,2018-01-29,2019-01-29,1280,337,0
666,2018-02-12,2019-02-12,1280,338,0
667,2018-04-03,2019-04-03,1280,339,0
668,2018-04-03,2019-04-03,1280,340,0
669,2018-02-02,2019-02-02,1280,341,0
670,2018-04-30,2019-04-30,1280,342,0
671,2018-03-05,2019-03-05,1280,343,0
672,2019-01-14,2020-01-14,1280,344,0
673,2018-10-24,2019-10-24,1280,345,0
674,2018-04-09,2019-04-09,1280,346,0
675,2018-06-20,2019-06-20,1280,347,0
676,2018-05-03,2019-05-03,1280,348,0
677,2018-06-08,2019-06-08,1280,349,0
678,2018-06-08,2019-06-08,1280,350,0
679,2018-06-08,2019-06-08,1280,351,0
680,2018-06-11,2019-06-11,1280,352,0
681,2018-07-05,2019-07-05,1280,353,0
682,2018-07-06,2019-07-06,1280,354,0
683,2018-06-12,2019-06-12,1280,355,0
684,2018-07-03,2019-07-03,1280,356,0
685,2018-07-03,2019-07-03,1280,357,0
686,2018-06-20,2019-06-20,1280,358,0
687,2018-07-06,2019-07-06,1280,359,0
688,2018-07-06,2019-07-06,1280,360,0
689,2018-07-05,2019-07-05,1280,361,0
690,2018-08-22,2019-08-22,1280,362,0
691,2018-08-22,2019-08-22,1280,363,0
692,2018-07-16,2019-07-16,1280,364,0
693,2018-09-05,2019-09-05,1280,365,0
694,2018-07-23,2019-07-23,1280,366,0
695,2018-07-30,2019-07-30,1280,367,0
696,2018-09-03,2019-09-03,1280,368,0
697,2018-08-02,2019-08-02,1280,369,0
698,2018-08-08,2019-08-08,1280,370,0
699,2018-08-03,2019-08-03,1280,371,0
700,2018-09-05,2019-09-05,1280,372,0
701,2018-09-04,2019-09-04,1280,373,0
702,2018-09-03,2019-09-03,1280,374,0
703,2018-08-31,2019-08-31,1280,375,0
704,2018-09-18,2019-09-18,1280,376,0
705,2018-11-26,2019-11-26,1280,377,0
706,2018-09-20,2019-09-20,1280,378,0
707,2018-10-09,2019-10-09,1280,379,0
708,2018-10-23,2019-10-23,1280,380,0
709,2018-09-27,2019-09-27,1280,381,0
710,2018-09-18,2019-09-18,1280,382,0
711,2018-10-02,2019-10-02,1280,383,0
712,2018-10-05,2019-10-05,1280,384,0
713,2018-10-03,2019-10-03,1280,385,0
714,2018-11-14,2019-11-14,1280,386,0
715,2018-10-04,2019-10-04,1280,387,0
716,2018-10-09,2019-10-09,1280,388,0
717,2018-10-12,2019-10-12,1280,389,0
718,2018-10-12,2019-10-12,1280,390,0
719,2018-10-15,2019-10-15,1280,391,0
720,2018-11-16,2019-11-16,1280,392,0
721,2018-11-20,2019-11-20,1280,393,0
722,2018-11-20,2019-11-20,1280,394,0
723,2018-11-06,2019-11-06,1280,395,0
724,2018-11-06,2019-11-06,1280,396,0
725,2018-12-10,2019-12-10,1280,397,0
726,2018-12-10,2019-12-10,1280,398,0
727,2018-12-10,2019-12-10,1280,399,0
728,2018-11-13,2019-11-13,1280,400,0
729,2018-11-30,2019-11-30,1280,401,0
730,2018-12-12,2019-12-12,1280,402,0
731,2019-05-03,2020-05-02,1280,403,0
732,2018-12-11,2019-12-11,1280,404,0
733,2018-12-21,2019-12-21,1280,405,0
734,2019-03-21,2020-03-20,1280,406,0
735,2019-01-24,2020-01-24,1280,407,0
736,2019-03-07,2020-03-06,1280,408,0
737,2019-04-26,2020-04-25,1280,409,0
738,2019-01-24,2020-01-24,1280,410,0
739,2019-01-25,2020-01-25,1280,411,0
740,2019-01-30,2020-01-30,1280,412,0
741,2019-01-30,2020-01-30,1280,413,0
742,2019-01-30,2020-01-30,1280,414,0
